Source File,Country,Company Name,Sector,Product Categories,Phone,Email,Address,Certifications,Production Capacity,Other,City/Location,Website,Types of Products,Additional Information,Name,الأسم,Type,نوع التصنيف,Subtype,نوع التصنيف الفرعي,Block,X Longitude,Y Latitude,Location,Factory Name,Industry Type,City,Region,Products/Services,Manufacturer Name
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Abbas Ali A-Hazeem & Partners Co. for Mattresses,Other Manufacturing Industries,Spring Mattresses – Headboards & Boxes – Bedrooms – Sofa Sets,(+965) 24731309 - 24738712,hazeem@qualitynet.com,Sabhan – Block 2- Street 21 –P.O. Box 497 Farwaniah Kuwait,,,Fax: (+965) 24735732,,,,,,,,,,,,,,,,,,,,Abbas Ali A-Hazeem & Partners Co. for Mattresses
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Ahmad Hassan Boland Sons & Partners Co.,Food and Beverages,Corn chips & snacks,(+965) 24718288 - 24739479,,Sabhan – Block 1 – Street 103 – P.O. Box 20651 Safat 13067 Kuwait,,,Fax: (+965) 24725574,,,,,,,,,,,,,,,,,,,,Ahmad Hassan Boland Sons & Partners Co.
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Al-Baghli Sponge Manufacturing Company,Textiles, Clothing & Leather Industries,Pillow cases & sheet sets,(+965) 24761444,sponge@albaghli.com,Sabhan – Block 2 – Street 101 – P.O. Box 29920 Safat 13160 Kuwait,,"N/A,Fax: (+965) 24762999; Website: www.albaghli-sponge.net",,,,,,,,,,,,,,,,,,,,Al-Baghli Sponge Manufacturing Company
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Al-Jeel Reprographic Industries,Paper & Wood Products,Engineering Papers – Thermal rolls,(+965) 24712918 – 24769875,Kuriakose@al-alfin.com,Sabhan – Block 2 – Plot 200 – P.O. Box 25726 Safat 13118 Kuwait,,,Fax: (+965) 24769876,,,,,,,,,,,,,,,,,,,,Al-Jeel Reprographic Industries
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Al-Seedawi Sweets Factories Co.,Food and Beverages,Packed roasted nuts – Arabian sweets – Candies – Halawa tahinia – Tahina (sesame juice) – Chocolate – Wafers,(+965) 24843994 - 24841551,alsedawi@qualitynet.net,Shuwaikh Industrial Area – Block 6 – Plot 70 – P.O. Box 569 Safat 13006 Kuwait,,,Fax: (+965) 24847488,,,,,,,,,,,,,,,,,,,,Al-Seedawi Sweets Factories Co.
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Alrawdah Paper & Nylon Products Plate Carton Company,Paper & Wood Products,Paper bags – Paper rolls – Paper plates – Carton products,(+965) 24710429 – 24832901 – 24740162,alrawdah_RPPC@hotmail.com,Sabhan – Block 2 – Street 21 – P.O. Box 33065 Safat 73451 Kuwait,,,Fax: (+965) 24740194 – 24848301; Website: www.alrawdah-co.com,,,,,,,,,,,,,,,,,,,,Alrawdah Paper & Nylon Products Plate Carton Company
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Arabian Beverage Company (ABC),Food and Beverages,Natural fruit juices – Yogurt & dairy products – Mineral water – Milk & flavored milk,(+965) 1802066 – 24736222,admin@abcjuice.com.kw,North Sabhan – Block 5 – Street 103 – P.O. Box 3022 Safat 13031 Kuwait,,,Fax: (+965) 24722793 – 24752881; Website: www.abcjuice.com.kw,,,,,,,,,,,,,,,,,,,,Arabian Beverage Company (ABC)
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Burgan Shoes Manufacturing Company,Textiles, Clothing & Leather Industries,Military shoes – Safety shoes – Casual shoes,(+965) 24733228 – 24731589,q8shoes@qualitynet.net,Sabhan – Block 2 – Street 102 – P.O. Box 3063 Safat 13031 Kuwait,,"N/A,Fax: (+965) 24714062",,,,,,,,,,,,,,,,,,,,Burgan Shoes Manufacturing Company
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Caesar Pac Carton & Paper Products Company,Paper & Wood Products,Corrugated carton & paper products,(+965) 24610077,caesarpac@caesarsgroup.net,Kuwait Free Trade Zone - Block 2 B - Plot 5 - P.O. Box 5592 Safat 13056 Kuwait,,,Fax: (+965) 24610177; Website: www.caesarsgroup.net,,,,,,,,,,,,,,,,,,,,Caesar Pac Carton & Paper Products Company
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Carpets Industry Company K.S.C.,Textiles, Clothing & Leather Industries,100 % Polyester carpets cut piles - straight and frieze yarn - 100 % PP BCF loop carpets,(+965) 24719000,info@carpetskuwait.com,Northern Sabhan – Block 6 – Street 104 - P.O. Box 929 Hawalli 32010 Kuwait,,"N/A,Fax: (+965) 24763669; Website: www.carpetskuwait.com",,,,,,,,,,,,,,,,,,,,Carpets Industry Company K.S.C.
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Conserved Food Distributing Co (Khazan),Food and Beverages,Chilled / frozen processed meat – Chilled / frozen processed poultry – Frozen processed sea food – Other frozen processed products – Canned food – Cake & pastries,(+965) 24722135 / 6 / 7/ 8/ 9,khazan@wazzan.com,Sabhan – Block 1 – Street 1 – P.O. Box 26226 Safat 13123 Kuwait,,,Fax: (+965) 24722142; Website: www.mezzan.com,,,,,,,,,,,,,,,,,,,,Conserved Food Distributing Co (Khazan)
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Domain General Trading & Contracting Co.,Other Manufacturing Industries,Furniture & Interior Design,(+965) 24717566 - 24717552,domainkwt@yahoo.com,Sabhan – Block 6 – Street 61 – P.O. Box 3783 Hawali 32069 Kuwait,,,Fax: (+965) 24717498; Website: www.dominkwt.com,,,,,,,,,,,,,,,,,,,,Domain General Trading & Contracting Co.
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Final Touches Co.,Other Manufacturing Industries,Furniture – Curtains – Accessories – Fabrics – Execution of interior designs,(+965) 24821143 - 1808899,finaltouches@usa.com,Shuwaikh –Canadadry Street –Wara Center– P.O. Box 22922 Safat 13090 Kuwait,,,Fax: (+965) 24822081,,,,,,,,,,,,,,,,,,,,Final Touches Co.
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Food Industries Company (Fico),Food and Beverages,Potato chips – Corn starch snacks,(+965) 1803344 – 24742242,fico@ficofood.com,Sabhan – Block 1 – Street 11 – P.O. Box 26221 Safat 13123 Kuwait,,,Fax: (+965) 24730141; Website: www.ficofood.com,,,,,,,,,,,,,,,,,,,,Food Industries Company (Fico)
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Gulf Leather Industries,Textiles, Clothing & Leather Industries,Shoes for men and women – Army shoes & safety shoes – Leather products (bags, wallets, belts),(+965) 24739766,gsf_kwt@yahoo.com,"Sabhan – Block 6 – Street 62 – P.O. Box 2336 Safat 13024 Kuwait,N/A,N/A,Fax: (+965) 24742046",,,,,,,,,,,,,,,,,,,,Gulf Leather Industries
arab_manufacturers.csv;mena_manufacturers.csv,Kuwait,Gulf Pastries Manufacturing Company,Food and Beverages,Cake – Pastries,(+965) 24745455 – 24745400,sara@wazzan.com,Sabhan – Block 10 – Street 1 – P.O. Box 3531 Safat 13036 Kuwait,,,Fax: (+965) 24748510; Website: www.mezzan.com,,,,,,,,,,,,,,,,,,,,Gulf Pastries Manufacturing Company
