Name,الأسم,Type,نوع التصنيف,Subtype,نوع التصنيف الفرعي,Block,X Longitude,Y Latitude,Location
INDUSTRIAL AREAS DIRECTORATE,إدارة المناطق الصناعية,INDUSTRIES,الصناعات,INDUSTRIAL AREAS,المناطق الصناعية,951.0,50.60850115,26.07628128,"26.07628128, 50.60850115"
ALHID PORT ICE MAKING FACTORY,مصنع فرضة الحد لصناعة الثلج,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,101.0,50.66050769,26.24173472,"26.24173472, 50.66050769"
ARABIAN GERMAN MANUFACTURING COMPANY - AGMA,الشركة العربية الألمانية للتصنيع - أجما,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.68424057,26.21991306,"26.21991306, 50.68424057"
AMEERI INDUSTRIES - AMETECH,أميري للصناعات - أمتك,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.65991953,26.21331441,"26.21331441, 50.65991953"
TACTILE ROOFING SOLUTIONS,حلول تاكتيل روفينج,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.67153604,26.21917381,"26.21917381, 50.67153604"
THE FOOD SUPPLY COMPANY - FOOSCO,شركة التجهيزات الغذائية المحدودة - فوسكو,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.66745373,26.22181125,"26.22181125, 50.66745373"
ASGHAR ALI COMPANY,شركة أصغرعلي,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.67796487,26.21920307,"26.21920307, 50.67796487"
AWAL GULF MANUFACTURING COMPANY,شركة أوال الخليج للتصنيع,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.66924426,26.21715068,"26.21715068, 50.66924426"
PRAXAIR BAHRAIN COMPANY,شركة براكسير البحرين,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.67887533,26.20747738,"26.20747738, 50.67887533"
POLARIS INTERNATIONAL COMPANY,شركة بولاريس إنترناشيونال,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.66577966,26.21435124,"26.21435124, 50.66577966"
