Source File,Country,Company Name,Sector,Product Categories,Phone,Email,Address,Certifications,Production Capacity,Other,City/Location,Website,Types of Products,Additional Information,Name,الأسم,Type,نوع التصنيف,Subtype,نوع التصنيف الفرعي,Block,X Longitude,Y Latitude,Location,Factory Name,Industry Type,City,Region,Products/Services
arab_manufacturers.csv,Saudi Arabia,Noor Sar Factory for Building Chemicals,Manufacturing chemicals and chemical products,Building chemicals,0165314844,noorsar@windowslive.com,Hail,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Saudi Arabia,Abdullah bin Salem bin Ayyad Al-Khattabi Factory for Industry,Manufacturing of rubber and plastic products,Rubber and plastic products,0126094111,alkhattabi_factory@hotmail.com,Jeddah 1st,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Saudi Arabia,Raniyah Mahmoud Mohammed Al-Abi Factory for Food Products,Manufacturing food products,Food products,0112865287,rokn.alhail@gmail.com,Al-Kharj,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Saudi Arabia,Al-Mumayzah Solutions Company for Chemical Industries,Manufacturing chemicals and chemical products; Manufacturing of rubber and plastic products; Manufacturing of machinery and equipment,Chemical industries,0126058546,info@usci.com.sa,Jeddah 1st,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Saudi Arabia,East Treasures Factory for Industry,N/A,N/A,0126545666,N/A,Jeddah 1st,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Saudi Arabia,Arabian Controls and Electrics Limited Company,Manufacturing computers, electronic and optical products,Electronics,0138101720,samer.alkurdi@abdulla-fouad.com,Dammam 3rd,N/A,"N/A,N/A",,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Saudi Arabia,Transport Media Factory Company for Metallic Products,Manufacturing of shaped metal products; Manufacturing of motor vehicles, trailers and semi-trailers; Manufacturing of other transport equipment,Metallic products,0114997060,infi@wasaetalnqil.com,Riyadh 2nd,N/A,"N/A,N/A",,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Saudi Arabia,Al-Rahden for Cleaning Company Saudi Closed Joint Stock,Other manufacturing; Manufacturing chemicals and chemical products,Cleaning products,0114543393,HR@alrahden.net,Riyadh 1st,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Saudi Arabia,Qu dra Industrial Company,Manufacturing of shaped metal products; Manufacturing of base metals; Manufacturing of electrical equipment; Manufacturing of rubber and plastic products; Manufacturing of motor vehicles, trailers and semi-trailers; Repair and installation of machinery and equipment; Manufacturing of other transport equipment,Various industrial,0112077773,faisal.benhumaid@qudra-sa.com,Riyadh 2nd,N/A,"N/A,N/A",,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Saudi Arabia,Saudi Heaven Industrial Company,Manufacturing chemicals and chemical products,Chemicals,0114110924,heavenalsaudia@gmail.com,Sudair,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Saudi Arabia,Thiqah Wood Factory for Wood Industries,Manufacturing of wood and wood products except furniture; Manufacturing of articles of straw and plaiting materials,Wood industries,0126621800,mohamed.ragab65@gmail.com,Jeddah 3rd,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Saudi Arabia,Modhesh Factory for Metal Furniture Grills,Manufacturing of machinery and equipment; Manufacturing of furniture; Manufacturing of electrical equipment,Metal furniture,0114489782,info@modhish.sa,Riyadh 1st,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,Royal Foodz,Processed food services,Processed food,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,Qatari Canadian for Electrical generators and energy,Power and renewable energy,Power solutions,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,Twyla Recycling Company,Plastic recycling,Plastic raw material,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,Qatar Flour Mills Co.,Food processing,Flour and wheat-based products,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,National Food Company (Al arabia),Food processing,Processed frozen food,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,Dandy Company,Food and beverages,Dairy, beverage and ice cream products,ISO 9001:2000,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,Doha Cables,Electrical,Cables,BASEC, LPCB, KEMA/DNV-GL,N/A,Messaieed Industrial City,"N/A,N/A",,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,Artikkan Gallery,Furniture and decor,Arab or Oriental influenced furniture and home-décor,N/A,N/A,Doha,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,AL ARZ AUTOMATIC BAKERY,Food processing,Bakery products,ISO 22000:2005, ISO 9001:2015,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,AL MESBAH FACTORY FOR ALUMINUM WORKS,Metal works,Aluminum works,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,COASTAL STEEL AND GALVANIZING WLL,Metal fabrication,Steel structures, stadium seats, bathroom partitions, lighting poles, crash barriers, cable trays,"N/A,N/A,N/A,N/A,N/A,N/A",,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,INTERNATIONAL WELDING RODS FACTORY,Manufacturing,Welding electrodes,ISO-certified,N/A,New Industrial Area, Doha,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,Seashore Panels Factory (formaly Al Atti ya Steel),Construction materials,Insulated polyurethane sandwich panels, cold room panels, decking sheets, purlins, single skin sheets,N/A,"N/A,New Industrial Area, Doha,N/A,N/A",,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,AlBINA SNACKS,Food processing,Roasted nuts,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,Baladna,Food and beverages,Dairy and juice products,ISO 22000:2005,N/A,Al Khor,N/A,N/A,,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,ADVANCED PLASTIC FACTORY,Plastics,Pipes, fittings PVC and HDPE, corrugated pipes,N/A,N/A,N/A,"N/A,N/A,N/A",,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,EXPANDED METAL MFG. CO.,Metal products,Expanded metal products,British Standards, ASTM, ISO 9001:2015, AISI,N/A,"New Industrial Area, Doha,N/A,N/A",,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,QATAR STEEL INDUSTRIES FACTORY,Steel products,Steel pipes, tubes, corrugated sheets, insulated panels, angles, beams," channels, flats,N/A,N/A,N/A,N/A,N/A,N/A",,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,GULF CRAFTS,Manufacturing,Bespoke design and manufacturing,N/A,N/A,Doha,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,Qatari German For Medical Devices Company,Medical devices,Single-use syringes, hypodermic needles, intravenous cannulas, re-use prevention syringes, insulin syringes,N/A,"N/A,N/A,N/A,N/A,N/A",,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,RAYYAN MINERAL WATER CO.,Beverages,Mineral water,N/A,N/A,60 kms from Doha,N/A,N/A,,,,,,,,,,,,,,,,,,,,
arab_manufacturers.csv,Qatar,QMEDIA SIGNAGE,Signage,Traffic, industrial, building name, indoor, way finding signs,N/A,"N/A,N/A,N/A,N/A,N/A",,,,,,,,,,,,,,,,,,,
