Srl,Factory,Telephone,Fax,email,Contact persor,Mobile,Status
1,AL ASR ELECTRICAL & ELECTRONIC INDUSTRIES.,24446809,24446809,alasr@omantel.net.om,Gopalen,99358957,"Confirmation letter for active products is not submitted"
2,Al Hassan Switchgear Manufacturing Co. LLC (AHSG),24591283,24596899,baqer.j@al-hassan.com,Bqer,95334775,
3,AL HASSSAN POWER INDUSTRIES,24591283,24596899,baqer.@al-hassan.com,Bqer,95334775,
4,AL JIZZI TRANSFORMERS & SWITCHGEAR CO.LLC,24451427,24456190,ajtsoman@omantel.net.om,Srirram,99375340,"Confirmation letter for active products is not submitted"
5,AL MOHSIN ELECTRICALS,24701494,24706049,allmoha@omantel.net.om,Saleem,99438409,"Confirmation letter for active products is not submitted"
6,AL SAQLAWI EST.,24813314,24810344,bisan80@omantel.net.om,Abdullah saqlawi,99383822,"Confirmation letter for active products is not submitted"
7,AL TASNEEM ELECTRICAL CONT.,24501017,24501018,"P.G clamps",Moosa Tubaila,99366083,
8,ELECTRO MECHANICAL SERVICES LLC,24596686,24595585,suresh@emsswitchgear.com,Suresh,99365503,"Confirmation letter for active products is not submitted"
9,JYOTI SOHAR SWITCHGEAR,26751197,26750286,jyotijss@omantel.net.om,Prabhat sherma,99445474,"Confirmation letter for active products is not submitted"
10,MAJAN SWITCHGEAR COMPANY,24504235,24502549,majanmct@omantel.net.om,T.Thangamani,99226968,
11,NATIONAL ELECTRICAL INDUSTRIES,24453880,24453721,sudarsan@neioman.com,Sudarsan,99840233,"Confirmation letter for active products is not submitted"
12,NATIONAL PLASTIC FACTORY,24811689,24810078,info@nationalplasticoman.com,wilfard,99840233,"Confirmation letter for active products is not submitted"
13,NATIONAL TRADING CO.,24591041,24591046,natcoed@omantel.net.om,ashok,99759012,
14,NUHAS OMAN LLC,24449007,24446790,alokbasu@nuhasoman.com,Sunil,99372917,"Confirmation letter for active products is not submitted"
15,OMAN CABLES INDUSTRY (O.C.I).,24446464,24446096,quadri@omancables.com,Saeed Qadiri,99349265,
16,Oman National Engineering & Investement Co.,24702075,24797394,bala.v@oneic.com.om,Bala,99217652,
17,SHARIKAT FANNIYA OMANIA,24815970,248108706,sfoelect@omantel.net.om,Abijit,99363078,"Confirmation letter for active products is not submitted"
18,URICH SWITCHGEAR MANUFACTURING CO.,24815597,24818350,usg_oman@yahoo.com,Prakash,99824034,
19,VOLTAMP MANUFACTURING CO.,24446372,24446371,,Aaist Naik,99337423,"Confirmation letter for active products is not submitted"
20,VOLTAMP TRANSFORMERS OMAN LTD.,24446372,24446371,aasit@voltampoman.com,Aaist Naik,99337423,
