Unnamed: 0,Factory Name (En),Factory Name (Ar),Phone Number,Factory Email,Emirate, Products,Unnamed: 7,Unnamed: 8,Unnamed: 9,Activities,Unnamed: 11,Unnamed: 12
,       Universal Concrete Products Limited (UNIMIX) (L.L.C)  ,الشركةالعالمية  لمنتجات الخرسانة المسلحة المحدودة ( يني مكس ) ش.ذ.م.م,043387816,khudayar.tirandazi@unimix-uae.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,68109100, - - Prefabricated structural components for building or civil cngineering,,- - عناصر إنشائية مسبقة الصنع للبناء أو الهندسة المدنية ,2395002,صناعة الخرسانة الجاهزة والخلطات الخرسانية الجافة والملاط,Ready-mix and Dry-mix Concrete and Mortars Manufacturing
,  NESTLE MIDDLE EAST MANUFACTURING L.L.C,نستله الشرق الاوسط للصناعات ذ.م.م,0505454088,albwardypro@gmail.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,21011100,"- - Extracts, essences and concentrates",,- - خلاصات أوأرواح أومركزات ,1080003,صناعة أعلاف محضرة للحيوانات الأليفة,Prepared Pets Feeds Manufacturing
,,,,,,21011211,- - - - Instant preparations containing added sugar or other sweetening matter.,,- - - -  محضرات سريعة الذوبان مضاف اليها سكر او مواد تحلية اخر ,1079004,خلط الشاي والماته (ماتيه),Tea and Maté Blending
,,,,,,21012010,- - - Tea-based preparations,,- - - محضرات اساسها الشاي ,,,
,,,,,,18069091,- - - -  Other products containing added sugar or other sweetening matter used in the preparation of beverages ,,- - - - غيرها من محضرات تحتوي على سكر أو مواد تحلية أخر، تستخدم في اعداد المشروبات,,,
,,,,,,21011210,"Instant preparations with a basis of extracts, essences or concentrates or with a basis of coffee (for example, Nescafe, Yuban & the like).",, محضرات أساسها خلاصات أرواح أو مركزات أو أساسها البن سريعة الذوبان ( مثل نسكافيه ، يوبان ، ماكسويل ...الخ) ,,,
, AL EMAD CARTON PRODUCTS FACTORY LLC SOLE PROPRIETORSHIP ,مصنع العماد لانتاج الكرتون ذ م م - شركة  الشخص  الواحد ,065261470,Info@alemadpackaging.net,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,48081000,"- Corrugated paper and papcrboard, whether or not perforated",,- ورق وورق مقوى مموج وإن كان مثقباً ,1702002,صناعة الأوعية من الورق المموَّج أو الورق المقوى,Corrugated Paper or Paperboard Containers Manufacturing
,,,,,,48191090,- - - Other,,- - -  غيرها,,,
, CREATIVE CONCRETE CONCEPTS LLC,الأنظمة الخرسانية المبتكرة ذ م م ,065321119,Legal.uae@creativeconcreteme.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,32141094,"   - - - - Filling mastics for preparing surfaces for painting by levelling out irregularitis and filling in cracks and holes, the paint being applied after they have been dried and  polished",,  - - - - معاجين الحشو لإعداد الأسطح للطلاء بتسوية البروزات وحشو الشقوق والثقوب ويوضع عليها الطلاء بعد جفافها وصقلها ,2395008,صناعة منتجات الجص للبناء - الجبس,Construction Plaster Products Manufacturing - Gypsum
,,,,,,32141099, - - - - Other,, - - - - غيرها ,2011010,صناعة المركبات الكيماوية غير عضوية,Inorganic Chemical Compounds Manufacturing
,,,,,,32149000,- Other,,- غيرها ,,,
,,,,,,25232100,"- - White cement, whether or not artificially coloured ",,- - اسمنت أبيض وإن تم تلوينه اصطناعيا ,,,
,,,,,,38160000,"Refractory cements, mortars, concretes and similar compositions, including dolomite ramming mix, other than products of heading 38.01.",,إسمنت وملاط وخرسانة ومركبات مماثلة متحملة للحرارة، بما فيها خلطة الدولوميت الجاهزة لتبطين الأفران، عدا منتجات البند 38.01 .,,,
,,,,,,38244000,"- Prepared Additives for cements, mortars or concretes",,ـ محضرات تضاف  للاسمنت أو الملاط أو الخرسانة ,,,
,,,,,,39073000,- Epoxide resins,,ـ راتنجات إبوكسيدية,,,
,,,,,,39069000,- Other,,ـ غيرها,,,
,,,,,,49111090,- - - Commercial catalogues and the like,,- - - كتالوجات تجارية وما يماثلها ,,,
,,,,,,44187400,"  -- Other, for mosaic floors",, - - غيرها، لأرضيات الفسيفساء (موزاييك),,,
,,,,,,84803090,- - - Of other materials,,- - - من مواد أخر ,,,
, CREATIVE PROPACK PLASTICS MANUFACTURING L.L.C,كريتيف بروباك للصناعات البلاستيكية ش.ذ.م.م,0557180459,projects@creativeplastic.ae,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39233000,"- Carboys, bottles, flasks and similar articles",,ـ قوارير وزجاجات ودوارق وأصناف مماثلة,2220135,صناعة أصناف الإغلاق البلاستيكية,Plastic Closures Articles  Manufacturing
,,,,,,39235000,"- Stoppers, lids, caps and other closures",,ـ سدادات وأغطية وكبسولات وغيرها من أصناف الإغلاق,2220125,صناعة القوارير والعبوات البلاسـتيكية المماثلة,Plastic Bottles and  Similar Containers Manufacturing
, ECO POWER BATTERY  MANUFACTURING,إيكو باور لصناعة بطاريات,056-2540054,info@theecopower.com,Abu Dhabi,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,85061010,  - - - Dry batteries for portable devices of a voltage1.5 volts and over,,"- - - بطاريات جافة للأجهزة القابلة للحمل قوة 1,5 فولت وأكثر ",2720002,صناعة بطاريات الخلايا الجافة,Dry Cell Batteries Manufacturing
,,,,,,01012190,   - - - Other,, - - - غيرها ,,,
