Factory Name,Industry Type,City,Region,Phone,Email,Website,Products/Services
Abdulaziz & Saad Al Moajil Co.,,,"Eastern Province","+966 xxxxxxxxxx",,,"Abdulaziz & Saad Al Moajil Co. was established in 1928 as a collective partnership company between the two brothers Abdulaziz & Saad and started functioning as a food stuff import company."
Advanced Solutions Company,,Riyadh,Riyadh,+966 112016528,,,"Comprehensive Software Solutions to Elevate Your Business We offer a range of intelligent software solutions to help you efficiently manage and streamline your operations: ✅ Enterprise Resource..."
Al Joaib Plastic Factory,,,"Eastern Province","+966 xxxxxxxxxx",,,"Today we are surrounded by products made out by plastic and it’s hard to imagine a world without plastic manufacturers. But how did it all begin and when was the birth of plastic? In 1862 the first..."
Al Kuhaimi Group,,Dammam,"Eastern Province","+966 566838672",,,"AlKuhaimi Group of Companies founded in 1975 with the initial establishment of AlKuhaimi Metal Industries in Dammam, Saudi Arabia. The growth and stability of the Saudi market various sectors necessit..."
Al Qahtani Pipe Coating Industries,,,"Eastern Province","+966 xxxxxxxxxx",,,"Abdel Hadi Abdullah Al-Qahtani Group of Companies established in 1940’s and has been expanded to cover various activities and considered to be one of the largest and most reputable privately owned..."
Al Rish Al Khaleeji Trading Co.,,,Riyadh,+966 552295924,,,"Is a leading provider of high-quality advertising and signage materials, committed to turning creative ideas into impactful marketing solutions. Since our inception, we have been serving clients acros..."
Al Shifa Medical Products Co.,,Dammam,"Eastern Province","+966 xxxxxxxxxx",,,"Since our establishment in 1980, we have committed to ourselves to making the healthcare environment safe and clean by manufacturing the latest and highest-quality medical disposable. We achieved that..."
Al-Jubail Sanitary Pipe Factory,,Jubail,"Eastern Province","+966 xxxxxxxxxx",,,"JSPF is the trade name of Al-Jubail Sanitary Pipe Factory owned 100% by a Saudi Individual. It was established in 1985, since then JSPF has become one of the largest manufacturer and supplier of Polye..."
Al-Suyuf Factory,,Jeddah,Makkah,+966 564240789,,,"Al-Suyuf factory is one of the well-known manufacturers in Saudi Arabia for producing plastic bags. If you're looking for biodegradable or eco-friendly plastic bags, we provide all types of plastic ba..."
Alam Albaitar Trading Co.,,Khamis Mushayt,Asir,+966 558584966,,,"We are one of the leading companies in the field of high-quality paint manufacturing in the Kingdom of Saudi Arabia. Our factory is located in Khamis Mushait and was established in 2008. Since then, o..."
Alanwar Factory Co.,,Riyadh,Riyadh,+966 xxxxxxxxxx,,,"Alanwar Factory Co. is a leading factory in Saudi Arabia in the production of street light poles, street lights, and lighting accessories. The factory was established in 1392 in the 1st industrial Cit..."
Alaousaj,,Jizan,Jazan,+966 xxxxxxxxxx,,,"Alaousaj established in Saudi Arabia, is dedicated to providing comprehensive and reliable pharmaceutical services to the community. We offer a wide range of medicines, healthcare products, and profes..."
Albitar Factory Company,,Dammam,"Eastern Province","+966 591596878",,,"Albitar factory is a wholly Saudi owned entity that was founded in 1974 in the First Industrial City, Eastern Province of Saudi Arabia and is a leading provider which is dedicated to quality work and..."
Alfalak Electronic Equipment & Supplies Co.,,Khobar,"Eastern Province","+966 13 882 9996",,,"Al-Falak Electronic Equipment & Supplies Co. is a leading IT and communications solution provider that has continuously been ranked by Arab News as one of the top 100 Companies in Saudi Arabia. Wi..."
ALHamoudi Sign Systems,,Riyadh,Riyadh,+966 xxxxxxxxxx,,,"Since 1990, Al-Hamoudi established an integrated media system for providing integrated advertising services whether companies, institutions, or individuals, in the Kingdom of Saudi Arabia market. Addi..."
alharamain factory,,Al Kharj,Riyadh,+966 xxxxxxxxxx,,,"It is a factory specialized in the field of uniforms. Categories: Medical uniforms. Brands: Wonderwink · Healing Hands · Hampton · Coy · Grey's Anatomy."
AlMutlaq Furniture,,Dammam,"Eastern Province","+966 138472211",,,"ALMUTLAQ FURNITURE was founded in 1954 and since then the company was a leader and pioneer in the furniture retail market, in furniture manufacturing, and in contract furnishing. For decades the compa..."
Alsharq Factory,,Jeddah,Makkah,+966 550723222,,,"Based in Jeddah, Saudi Arabia, Al Sharq Al Adna Manufacturing specializes in producing high-quality Wood-Plastic Composite (WPC) products. With a focus on durability, sustainability, and innovation, w..."
Aluminium Manufacturing Co. Ltd,,Dammam,"Eastern Province","+966 xxxxxxxxxx",,,"ALUMACO is one of the largest and most prestigious architectural aluminum fabricators and installers in the Middle East. This achievement was made through advanced material management and technical en..."
Alwasat Printing Company,,Dammam,"Eastern Province","+966 58 392 6917",,,"AlWasat Printing Company is one of the pioneers in providing high quality printing services. Whether in design, accuracy or execution, the company’s strength lies in its approach that works to meet..."
Aqua Cool Saudi Arabia,,Dammam,"Eastern Province","+966 xxxxxxxxxx",,,"Established in 1985, Aqua Cool is the first, and remains the longest serving, 5 gallon bottled drinking water supplier in the Kingdom of Saudi Arabia. Licensed by the Ministry of Industry and the Saud..."
Arabian Minerals and Chemicals Co. Ltd,,Dammam,"Eastern Province","+966 xxxxxxxxxx",,,"Arabian Minerals and Chemical Company Ltd. (AMC) is a Saudi Arabian Chemical Manufacturing Company supporting the Oil & Gas Industry for over 45 years. Established in 1976, AMC is one of the most..."
Arabian Seals Company Ltd. (ASC),,Dammam,"Eastern Province","+966 xxxxxxxxxx",,,"The first Saudi Arabian Joint Venture company to manufacture, sell and service mechanical seals, sealing systems and other related products for the Petroleum, Petrochemical, Chemical, Power Generation..."
Bahra Electric,,Jeddah,Makkah,+966 920011127,,,"Bahra Electric was established in 2008 as Bahra Cables. Initially we focused purely on establishing our name in the Wires and Cables industry and are very proud of our achievements to have reached the..."
Brothers Gas Bottling and Distribution Co. LLC,,Riyadh,Riyadh,+966 506373336,,,"Brothers Gas Bottling & Distribution Co. LLC established in 1992 as a single bottling unit providing clean & portable fuel solutions has experienced a meteoric rise to our current position as..."
